Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10461,California scorpionfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166827,Scorpaena guttata,California scorpionfish,Southern California,7591,2017,9,2016,Benchmark,Full acceptance,2017,882.5,mt,Spawning biomass,406.1000061,SSB25%,649.7999878,SSB40%,2.173000097,1.35800004,247.1999969,mt
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,392,2005,12,2004,Benchmark,Full acceptance,2005,1995,Metric Tons,Spawning Stock Biomass,8699.5,SPB25%,13919.2002,SPB40%,0.229000002,0.143000007,822,Metric Tons
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,970,2007,9,2006,Benchmark,Full acceptance,2007,10544,mt (female biomass only),Spawning biomass,8140.25,SPB25%,13024.40039,SPB40%,1.294999957,0.810000002,1574,mt
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,1859,2009,6,2008,Full Update,Full acceptance,2009,6170,mt (female biomass only),Spawning biomass,6498,SPB25%,10397,SPB40%,0.949999988,0.592999995,959,mt
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,2800,2011,6,2010,Full Update,Full acceptance,2011,6458.109863,mt (female biomass only),Spawning biomass,6961.600098,SPB25%,11138.55957,SPB40%,0.927999973,0.579999983,801,mt
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,5642,2015,6,2014,Benchmark,Full acceptance,2015,4156.430176,Million Eggs,Female Reproductive Output,1872.75,SPB25%,2996.399902,SPB40%,2.219000101,1.386999965,1226,Metric Tons
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,7592,2017,9,2016,Partial Update,Full acceptance,2017,4215.490234,million eggs,Female reproductive output,1865.199951,SPB25%,2984.323975,SPB40%,2.25999999,1.412999988,1196.890015,mt
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,9507,2019,11,2018,,Full acceptance,2019,4285,Million Eggs,Spawning Output,1863.079956,SSB25%,2980.927979,SSB40%,2.299999952,1.437000036,1199,Metric Tons
10415,Canary rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166734,Sebastes pinniger,Canary rockfish,Pacific Coast,11638,2021,9,2020,,Full acceptance,2021,4255,Million Eggs,Spawning Output,1863,SSB25%,2981,SSB40%,2.28399992,1.427000046,1282,Metric Tons
10395,Chilipepper - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166722,Sebastes goodei,Chilipepper,Southern Pacific Coast,972,2007,9,2006,Benchmark,Full acceptance,2007,23827,mt (female biomass only),Spawning biomass,8347.5,SPB25%,13356,SPB40%,2.854000092,1.784000039,2155,mt
10395,Chilipepper - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166722,Sebastes goodei,Chilipepper,Southern Pacific Coast,5641,2015,6,2014,Full Update,Full acceptance,2015,4502,millions larvae,Female reproductive output,1760,SPB25%,2816,SPB40%,2.558000088,1.598999977,2133,mt
10395,Chilipepper - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166722,Sebastes goodei,Chilipepper,Southern Pacific Coast,7593,2017,9,2016,Partial Update,Full acceptance,2017,4707,millions larvae,Female reproductive output,1701,SPB25%,2721,SPB40%,2.76699996,1.730000019,2064,mt
14430,China rockfish - Central Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166731,Sebastes nebulosus,China rockfish,Central Pacific Coast,6271,2015,9,2014,Benchmark,Full acceptance,2015,40.03300095,billion eggs,Female reproductive output,16.27499962,SPB25%,26.04000092,SPB40%,2.460000038,1.536999941,15.69999981,mt
14430,China rockfish - Central Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166731,Sebastes nebulosus,China rockfish,Central Pacific Coast,9445,2019,9,2018,,Full acceptance,2019,40,Billion Eggs,Stock Reproductive Output,16.28000069,SPR25%,26.04000092,SPR40%,2.457000017,1.536000013,16,Metric Tons
14410,China rockfish - Northern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166731,Sebastes nebulosus,China rockfish,Northern Pacific Coast,6192,2015,9,2014,Benchmark,Full acceptance,2015,17.94199944,billion eggs,Female reproductive output,6.125,SPB25%,9.760000229,SPB40%,2.928999901,1.838000059,,
14410,China rockfish - Northern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,166731,Sebastes nebulosus,China rockfish,Northern Pacific Coast,9508,2019,9,2018,,Full acceptance,2019,17,Billion Eggs,Stock Reproductive Output,6.110000134,SPR25%,9.779999733,SPR40%,2.782000065,1.738000035,6,Metric Tons
